customer_id,age,price,quantity,gender,payment_method,category,shopping_mall,invoice_date
C100004,61.0,1500.4,5.0,Male,Credit Card,Clothing,Metrocity,26/11/2021
C100005,34.0,1200.34,2.0,Male,Cash,Shoes,Kanyon,3/3/2023
C100006,44.0,107.52,3.0,Male,Credit Card,Toys,Cevahir AVM,1/12/2022
C100012,25.0,26.15,5.0,Male,Cash,Food & Beverage,Kanyon,15/08/2021
C100019,21.0,35.84,1.0,Female,Credit Card,Toys,Metrocity,25/07/2021
C100025,55.0,71.68,2.0,Male,Debit Card,Toys,Metrocity,3/6/2021
C100028,21.0,15.15,1.0,Female,Cash,Books,Kanyon,25/11/2021
C100030,46.0,1200.32,4.0,Male,Cash,Clothing,Mall of Istanbul,13/10/2022
C100034,60.0,600.16,2.0,Male,Cash,Clothing,Kanyon,6/8/2021
C100041,50.0,900.24,3.0,Female,Cash,Clothing,Kanyon,23/04/2021
C100042,28.0,162.64,4.0,Female,Cash,Cosmetics,Metrocity,4/1/2022
C100045,48.0,5.23,1.0,Male,Cash,Food & Beverage,Cevahir AVM,10/1/2022
C100066,46.0,107.52,3.0,Female,Cash,Toys,Mall of Istanbul,2/8/2022
C100067,62.0,600.17,1.0,Female,Cash,Shoes,Cevahir AVM,6/1/2021
C100078,64.0,30.3,2.0,Male,Debit Card,Books,Metropol AVM,1/12/2022
C100088,30.0,5.23,1.0,Female,Debit Card,Food & Beverage,Zorlu Center,5/3/2021
C100090,62.0,81.32,2.0,Female,Cash,Cosmetics,Mall of Istanbul,7/3/2022
C100095,31.0,26.15,5.0,Female,Cash,Food & Beverage,Metrocity,9/10/2022
C100096,40.0,900.24,3.0,Male,Cash,Clothing,Mall of Istanbul,3/10/2021
C100099,64.0,45.45,3.0,Male,Credit Card,Books,Kanyon,23/03/2022
C100102,18.0,900.24,3.0,Male,Credit Card,Clothing,Mall of Istanbul,31/08/2022
C100105,49.0,5.23,1.0,Male,Cash,Food & Beverage,Forum Istanbul,16/07/2022
C100106,54.0,1200.32,4.0,Male,Cash,Clothing,Zorlu Center,24/06/2022
C100110,28.0,1500.4,5.0,Female,Credit Card,Clothing,Metrocity,1/5/2022
C100112,68.0,300.08,1.0,Female,Debit Card,Clothing,Kanyon,25/05/2022
C100113,48.0,1200.32,4.0,Female,Debit Card,Clothing,Istinye Park,15/06/2022
C100115,62.0,40.66,1.0,Male,Cash,Cosmetics,Metrocity,8/6/2022
C100121,64.0,11.73,1.0,Male,Cash,Souvenir,Mall of Istanbul,3/4/2022
C100123,40.0,121.98,3.0,Female,Cash,Cosmetics,Zorlu Center,25/01/2022
C100124,45.0,15.69,3.0,Female,Cash,Food & Beverage,Emaar Square Mall,15/06/2021
C100130,42.0,1800.51,3.0,Female,Cash,Shoes,Zorlu Center,8/2/2023
C100132,53.0,15.69,3.0,Female,Cash,Food & Beverage,Metrocity,8/10/2022
C100138,58.0,1200.34,2.0,Male,Cash,Shoes,Metrocity,28/03/2022
C100139,35.0,1050.0,1.0,Male,Cash,Technology,Zorlu Center,16/03/2021
C100141,33.0,30.3,2.0,Female,Cash,Books,Mall of Istanbul,9/3/2022
C100148,63.0,900.24,3.0,Female,Credit Card,Clothing,Metrocity,3/9/2021
C100152,45.0,600.16,2.0,Female,Cash,Clothing,Mall of Istanbul,6/2/2022
C100154,54.0,15.15,1.0,Female,Debit Card,Books,Viaport Outlet,19/10/2022
C100155,61.0,300.08,1.0,Female,Debit Card,Clothing,Zorlu Center,3/3/2023
